ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_TOTAL,2021,86.4,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_AGR,2021,98.4,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_T,ECO_AGNAG_NAG,2021,82.4,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_TOTAL,2021,83,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_AGR,2021,97.8,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_M,ECO_AGNAG_NAG,2021,78.9,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_TOTAL,2021,97.3,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_AGR,2021,99.5,,,R1:3513_S3:8
AFG,SDG_0831_SEX_ECO_RT,BA:15715,SEX_F,ECO_AGNAG_NAG,2021,96.1,,,R1:3513_S3:8
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_TOTAL,2021,90.3,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_AGR,2021,99.8,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_NAG,2021,78.1,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_TOTAL,2021,84.8,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_AGR,2021,99.7,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_NAG,2021,69.2,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_TOTAL,2021,95.5,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_AGR,2021,100,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_NAG,2021,88.7,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_TOTAL,2019,88.2,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_AGR,2019,99.5,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_T,ECO_AGNAG_NAG,2019,75.9,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_TOTAL,2019,82.2,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_AGR,2019,99.2,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_M,ECO_AGNAG_NAG,2019,67.6,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_TOTAL,2019,94,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_AGR,2019,99.7,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BA:13951,SEX_F,ECO_AGNAG_NAG,2019,86.3,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_TOTAL,2011,84.3,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_AGR,2011,99.8,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_NAG,2011,68.1,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_TOTAL,2011,77.2,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_AGR,2011,99.6,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_NAG,2011,59.3,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_TOTAL,2011,91.3,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_AGR,2011,99.9,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_NAG,2011,79.5,,,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_TOTAL,2004,79.2,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_AGR,2004,98.5,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_T,ECO_AGNAG_NAG,2004,68.2,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_TOTAL,2004,70.5,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_AGR,2004,97,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_M,ECO_AGNAG_NAG,2004,59.8,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_TOTAL,2004,89,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_AGR,2004,99.6,B,I11:264,R1:3513
AGO,SDG_0831_SEX_ECO_RT,BB:13366,SEX_F,ECO_AGNAG_NAG,2004,80.5,B,I11:264,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2019,56.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2019,99.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2019,32.2,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2019,59,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2019,99,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2019,39.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2019,53.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2019,99.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2019,21.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2018,57.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2018,98.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2018,33.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2018,60.2,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2018,98.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2018,41.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2018,54.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2018,99.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2018,22.3,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2017,58.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2017,99.3,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2017,33.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2017,61.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2017,99.2,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2017,40.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2017,55.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2017,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2017,23.3,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2016,61.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2016,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2016,36.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2016,63.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2016,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2016,43.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2016,58.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2016,99.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2016,25.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2015,63.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2015,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2015,38.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2015,65.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2015,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2015,46.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2015,60.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2015,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2015,24.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2014,65.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2014,99.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2014,41,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2014,67.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2014,99.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2014,49.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2014,63.3,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2014,99.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2014,27.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2013,61,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2013,96.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2013,33.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2013,58.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2013,93.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2013,38.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2013,63.5,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2013,98.7,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2013,24.1,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_TOTAL,2012,66.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_AGR,2012,97.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_T,ECO_AGNAG_NAG,2012,40.2,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_TOTAL,2012,63.4,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_AGR,2012,96.2,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_M,ECO_AGNAG_NAG,2012,43.8,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_TOTAL,2012,70.6,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_AGR,2012,98.9,,,R1:3513
ALB,SDG_0831_SEX_ECO_RT,BA:480,SEX_F,ECO_AGNAG_NAG,2012,33.5,,,R1:3513
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2021,48.9,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2021,28.8,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2021,49,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2021,49,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2021,27.4,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2021,49,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2021,48.9,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2021,,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2021,48.9,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2020,46.8,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_AGR,2020,26.4,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_NAG,2020,46.8,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_TOTAL,2020,47.3,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_AGR,2020,23.7,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_M,ECO_AGNAG_NAG,2020,47.3,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_TOTAL,2020,46.1,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_AGR,2020,,U,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_F,ECO_AGNAG_NAG,2020,46.1,,,R1:3513_S4:33
ARG,SDG_0831_SEX_ECO_RT,BA:150,SEX_T,ECO_AGNAG_TOTAL,2019,49.7,,,R1:3513_S4:33
